Degree,Specialization,CGPA,Job_Role
B.Tech,Petroleum Engineering,7.95,Drilling Engineer
B.Sc,Physics,9.61,Astrophysicist
B.Tech,Environmental Engineering,6.87,Waste Manager
B.Tech,Computer Science and Engineering,9.07,Cloud Architect
M.Sc,Radiology,6.42,X-Ray Assistant
M.Tech,Chemical Engineering,6.2,Safety Officer
M.Tech,Environmental Engineering,8.54,Sustainability Consultant
B.Sc,Mathematics,8.82,Actuary
M.Tech,Environmental Engineering,8.7,Sustainability Consultant
B.Tech,Marine Engineering,8.89,Spacecraft Systems Engineer
B.Sc,Mathematics,8.56,Cryptographer
B.Sc,Anesthesia Technology,7.22,Medical Assistant
M.Tech,Textile Engineering,9.0,Textile Designer
B.Tech,Chemical Engineering,9.84,Process Design Engineer
M.Tech,Computer Science and Engineering,6.05,Technical Support
B.Sc,Mathematics,8.49,Mathematics Professor
B.Sc,Chemistry,6.43,Analytical Chemist
B.Tech,Computer Science and Engineering,6.57,Technical Support
B.Tech,Information Technology,8.92,Cloud Architect
M.Sc,Radiology,6.9,X-Ray Assistant
B.Tech,Aerospace Engineering,9.94,Spacecraft Systems Engineer
M.Sc,Electronics,8.96,Lab Director
B.Sc,Optometry,6.19,Optical Assistant
M.Tech,Petroleum Engineering,7.6,Drilling Engineer
B.Tech,Civil Engineering,6.2,Mathematics Professor
M.Tech,Mining Engineering,6.19,Safety Inspector
B.Tech,Computer Science and Engineering,6.65,Technical Support
M.Tech,Civil Engineering,8.22,Site Engineer
B.Sc,Electronics,8.05,Hardware Repair Lead
B.Tech,Marine Engineering,9.54,Naval Architect
M.Tech,Civil Engineering,6.39,Draftsman
M.Sc,Statistics,8.05,Survey Researcher
M.Sc,Mathematics,9.81,Actuary
M.Sc,Operation Theatre Technology,8.88,OT Manager
M.Sc,Operation Theatre Technology,7.85,OT Technician
M.Tech,Mining Engineering,9.25,Mine Manager
B.Sc,Electronics,9.26,Circuit Designer
B.Tech,Petroleum Engineering,6.5,Site Supervisor
M.Sc,Chemistry,8.86,Analytical Chemist
B.Tech,Textile Engineering,6.24,Textile Designer
B.Sc,Physics,6.45,Lab Technician
B.Sc,Radiology,8.28,Radiology Technician
B.Sc,Optometry,7.53,Eye Consultant
B.Sc,Chemistry,7.57,Pharmacologist
B.Sc,Electronics,7.77,Hardware Repair Lead
B.Sc,Operation Theatre Technology,8.15,OT Technician
M.Tech,Chemical Engineering,7.64,Chemical Plant Operator
B.Tech,Biomedical Engineering,9.15,Bio-instrumentation Lead
B.Tech,Environmental Engineering,6.56,Waste Manager
B.Sc,Forensic Science,7.24,Structural Engineer
M.Sc,Optometry,9.88,Senior Optometrist
B.Tech,Electronics and Communication Engineering,7.72,Electronics Engineer
M.Sc,Forensic Science,7.47,Evidence Custodian
M.Tech,Mining Engineering,6.4,Safety Inspector
B.Tech,Mining Engineering,9.84,Mine Manager
M.Sc,Radiology,7.2,X-Ray Assistant
B.Sc,Physics,6.82,Lab Technician
B.Tech,Chemical Engineering,8.43,Chemical Plant Operator
M.Sc,Statistics,8.64,Data Analyst
M.Sc,Radiology,8.76,Radiology Technician
M.Tech,Information Technology,6.02,Helpdesk Specialist
M.Tech,Metallurgical Engineering,9.14,Materials Scientist
B.Sc,Statistics,6.46,Data Clerk
M.Sc,Medical Laboratory Technology,9.01,Lab Director
M.Tech,Computer Science and Engineering,7.44,Technical Support
B.Sc,Mathematics,6.54,Data Entry Operator
M.Tech,Chemical Engineering,7.31,Safety Officer
B.Sc,Forensic Science,6.91,Evidence Custodian
B.Tech,Electronics and Communication Engineering,6.22,Network Technician
M.Tech,Biomedical Engineering,8.34,Biomedical Engineer
M.Tech,Civil Engineering,8.64,Structural Engineer
B.Tech,Aerospace Engineering,9.53,Spacecraft Systems Engineer
M.Tech,Civil Engineering,7.81,Site Engineer
B.Tech,Mechanical Engineering,9.04,Design Engineer
B.Tech,Mining Engineering,9.21,Mine Manager
M.Tech,Civil Engineering,9.1,Structural Engineer
B.Tech,Textile Engineering,9.94,Reservoir Engineer
B.Sc,Medical Laboratory Technology,8.95,Lab Director
B.Sc,Physics,6.17,Lab Technician
B.Sc,Electronics,6.92,Testing Assistant
M.Tech,Biomedical Engineering,6.23,Equipment Technician
M.Tech,Petroleum Engineering,7.74,Drilling Engineer
M.Sc,Physics,8.47,Physics Teacher
B.Tech,Mechanical Engineering,9.71,Drilling Engineer
B.Tech,Mining Engineering,9.0,Mine Manager
B.Sc,Forensic Science,6.69,Evidence Custodian
M.Sc,Optometry,7.38,Process Design Engineer
M.Tech,Electrical and Electronics Engineering,7.37,Maintenance Engineer
B.Tech,Information Technology,9.7,Cloud Architect
M.Sc,Chemistry,6.06,Chemical Assistant
M.Tech,Aerospace Engineering,8.09,Satellite Controller
M.Sc,Chemistry,7.33,Chemical Assistant
M.Sc,Forensic Science,9.62,Forensic Pathologist
M.Tech,Petroleum Engineering,8.77,Reservoir Engineer
M.Tech,Environmental Engineering,9.48,Sustainability Consultant
M.Sc,Electronics,6.83,Testing Assistant
B.Sc,Dialysis Technology,7.25,Health Aide
M.Sc,Forensic Science,7.86,Crime Scene Investigator
M.Tech,Information Technology,9.91,Solutions Architect
B.Tech,Chemical Engineering,9.87,Process Design Engineer
B.Tech,Electronics and Communication Engineering,8.18,Electronics Engineer
B.Tech,Biotechnology,6.17,Lab Assistant
B.Tech,Chemical Engineering,6.7,Safety Officer
B.Tech,Metallurgical Engineering,8.53,Materials Scientist
M.Sc,Nursing,6.89,Nursing Assistant
M.Sc,Forensic Science,8.07,Crime Scene Investigator
B.Sc,Dialysis Technology,8.42,Dialysis Technician
M.Sc,Chemistry,7.65,Site Supervisor
M.Sc,Optometry,8.54,Senior Optometrist
M.Sc,Medical Laboratory Technology,9.16,Lab Director
M.Tech,Textile Engineering,8.86,Fiber Scientist
B.Tech,Mining Engineering,8.21,Extraction Engineer
B.Tech,Biotechnology,8.34,Bioprocess Engineer
B.Tech,Electronics and Communication Engineering,8.47,Electronics Engineer
M.Sc,Nursing,9.46,Nurse Manager
M.Tech,Biotechnology,8.59,Senior Scientist
M.Sc,Radiology,9.22,Senior Radiologist
M.Tech,Environmental Engineering,8.87,Sustainability Consultant
B.Tech,Aeronautical Engineering,8.29,Aircraft Maintenance Engineer
M.Tech,Metallurgical Engineering,7.83,Process Metallurgist
B.Tech,Electronics and Communication Engineering,6.46,Network Technician
M.Tech,Information Technology,9.57,Cloud Architect
M.Tech,Mining Engineering,9.13,Mine Manager
B.Tech,Textile Engineering,8.57,Production Manager
M.Tech,Computer Science and Engineering,9.01,Production Manager
M.Tech,Information Technology,6.7,Helpdesk Specialist
B.Sc,Physics,6.21,Lab Technician
B.Sc,Electronics,7.9,Hardware Repair Lead
B.Sc,Optometry,6.4,Optical Assistant
M.Tech,Biomedical Engineering,7.18,Equipment Technician
M.Sc,Mathematics,8.99,Actuary
M.Tech,Electrical and Electronics Engineering,7.72,Data Analyst
M.Tech,Marine Engineering,6.29,Lab Technician
M.Sc,Radiology,8.75,Lab Director
M.Tech,Mining Engineering,6.64,Safety Inspector
M.Tech,Chemical Engineering,9.99,Process Design Engineer
M.Tech,Biotechnology,7.06,Lab Assistant
B.Sc,Nursing,9.44,Nurse Practitioner
M.Tech,Petroleum Engineering,7.71,Drilling Engineer
B.Sc,Physics,9.22,Quantum Researcher
M.Tech,Electrical and Electronics Engineering,9.73,Control Systems Lead
B.Tech,Biotechnology,6.06,Helpdesk Specialist
M.Sc,Radiology,6.59,X-Ray Assistant
B.Tech,Electronics and Communication Engineering,7.53,Electronics Engineer
B.Sc,Nursing,9.76,Nurse Manager
B.Sc,Operation Theatre Technology,6.67,Surgical Assistant
B.Tech,Civil Engineering,7.39,Draftsman
B.Tech,Metallurgical Engineering,8.04,Process Metallurgist
B.Sc,Computer Science,8.0,Data Entry Operator
M.Tech,Electronics and Communication Engineering,9.55,Embedded Systems Lead
M.Tech,Marine Engineering,9.09,Naval Architect
B.Sc,Operation Theatre Technology,9.68,OT Manager
B.Sc,Nursing,7.55,Registered Nurse
B.Tech,Petroleum Engineering,8.14,Drilling Engineer
M.Sc,Nursing,8.26,Registered Nurse
B.Sc,Dialysis Technology,9.93,Dialysis Specialist
M.Sc,Mathematics,7.3,Data Entry Operator
M.Tech,Mechanical Engineering,9.73,R&D Engineer
B.Tech,Civil Engineering,8.63,Urban Planner
B.Sc,Optometry,7.19,Optical Assistant
M.Tech,Information Technology,10.0,Cloud Architect
B.Sc,Dialysis Technology,7.46,Health Aide
B.Sc,Chemistry,8.87,Analytical Chemist
M.Sc,Operation Theatre Technology,6.89,Surgical Assistant
B.Tech,Information Technology,9.02,Cloud Architect
B.Sc,Forensic Science,9.34,Forensic Pathologist
M.Tech,Biomedical Engineering,7.54,OT Manager
B.Tech,Environmental Engineering,7.72,Waste Manager
B.Sc,Electronics,8.41,Hardware Repair Lead
B.Tech,Biotechnology,6.32,Lab Assistant
B.Sc,Forensic Science,8.12,Crime Scene Investigator
B.Sc,Medical Laboratory Technology,8.8,Data Analyst
M.Tech,Aerospace Engineering,8.06,Satellite Controller
B.Sc,Statistics,8.51,Statistical Modeler
B.Sc,Chemistry,8.37,Pharmacologist
B.Tech,Electronics and Communication Engineering,7.71,Electronics Engineer
M.Sc,Electronics,9.14,Circuit Designer
B.Sc,Electronics,7.74,Hardware Repair Lead
M.Tech,Textile Engineering,8.02,Production Manager
M.Sc,Physics,9.59,Quantum Researcher
B.Tech,Chemical Engineering,8.24,Chemical Plant Operator
M.Sc,Nursing,6.32,Nursing Assistant
M.Sc,Statistics,7.21,Data Clerk
B.Tech,Environmental Engineering,7.55,Environmental Engineer
B.Tech,Textile Engineering,7.26,Textile Designer
B.Sc,Computer Science,6.16,Computer Instructor
M.Sc,Electronics,7.38,Testing Assistant
B.Tech,Electronics and Communication Engineering,8.75,Embedded Systems Lead
M.Sc,Physics,9.85,Astrophysicist
B.Sc,Computer Science,8.09,Systems Analyst
M.Tech,Civil Engineering,6.91,Draftsman
B.Tech,Environmental Engineering,7.14,Waste Manager
M.Sc,Nursing,7.15,Nursing Assistant
M.Tech,Chemical Engineering,7.5,Chemical Plant Operator
B.Tech,Aeronautical Engineering,7.85,Aircraft Maintenance Engineer
B.Sc,Operation Theatre Technology,7.72,OT Technician
M.Tech,Petroleum Engineering,7.3,Site Supervisor
B.Tech,Petroleum Engineering,8.28,Drilling Engineer
M.Tech,Chemical Engineering,7.8,Chemical Plant Operator
M.Tech,Textile Engineering,9.45,Fiber Scientist
B.Tech,Mining Engineering,8.07,Extraction Engineer
B.Tech,Aeronautical Engineering,6.6,Technical Writer
M.Sc,Electronics,7.62,Hardware Repair Lead
B.Tech,Electronics and Communication Engineering,8.99,VLSI Engineer
B.Tech,Civil Engineering,8.68,Structural Engineer
B.Sc,Physics,7.21,Lab Technician
M.Sc,Nursing,7.25,Nursing Assistant
B.Tech,Marine Engineering,6.62,Ship Maintenance
B.Tech,Mechanical Engineering,6.82,Maintenance Technician
M.Sc,Radiology,8.99,Senior Radiologist
M.Tech,Textile Engineering,6.53,Embedded Systems Lead
M.Sc,Physics,8.92,Quantum Researcher
M.Tech,Textile Engineering,6.75,Textile Designer
M.Tech,Electronics and Communication Engineering,9.1,VLSI Engineer
B.Tech,Biotechnology,7.7,Circuit Designer
B.Sc,Forensic Science,7.18,Evidence Custodian
B.Sc,Nursing,7.64,Registered Nurse
B.Tech,Electronics and Communication Engineering,7.74,Electronics Engineer
M.Tech,Electrical and Electronics Engineering,6.5,Maintenance Engineer
M.Tech,Electrical and Electronics Engineering,9.89,Power Systems Engineer
M.Sc,Dialysis Technology,6.14,Health Aide
B.Sc,Mathematics,9.7,Cryptographer
B.Sc,Forensic Science,9.7,Phlebotomist
B.Tech,Mechanical Engineering,9.79,R&D Engineer
B.Sc,Optometry,6.72,Optical Assistant
M.Tech,Aeronautical Engineering,6.71,Technical Writer
B.Sc,Nursing,8.67,Nurse Practitioner
M.Tech,Information Technology,9.81,Solutions Architect
M.Sc,Computer Science,6.43,Computer Instructor
B.Sc,Electronics,6.54,Testing Assistant
M.Tech,Biomedical Engineering,6.05,Equipment Technician
B.Tech,Chemical Engineering,8.41,Chemical Plant Operator
M.Sc,Chemistry,8.32,Pharmacologist
B.Tech,Chemical Engineering,6.27,Safety Officer
B.Sc,Optometry,9.83,Senior Optometrist
B.Tech,Chemical Engineering,7.13,Safety Officer
M.Sc,Computer Science,9.77,Web Developer
B.Sc,Physics,7.89,Physics Teacher
M.Sc,Electronics,7.63,Hardware Repair Lead
B.Tech,Chemical Engineering,7.42,Safety Officer
M.Sc,Chemistry,7.46,Chemical Assistant
M.Tech,Aeronautical Engineering,8.88,Aerodynamics Specialist
M.Tech,Textile Engineering,8.47,Production Manager
B.Tech,Electrical and Electronics Engineering,6.27,Maintenance Engineer
M.Tech,Civil Engineering,8.25,Site Engineer
M.Sc,Operation Theatre Technology,7.17,Surgical Assistant
M.Tech,Aeronautical Engineering,6.3,Technical Writer
B.Tech,Aerospace Engineering,8.48,Aerodynamics Specialist
M.Tech,Biomedical Engineering,8.86,Bio-instrumentation Lead
M.Sc,Nursing,7.01,Nursing Assistant
B.Sc,Radiology,6.71,AI Engineer
B.Sc,Mathematics,8.11,Mathematics Professor
B.Sc,Statistics,7.04,Data Clerk
M.Tech,Marine Engineering,7.35,Ship Maintenance
M.Tech,Biotechnology,9.0,Genetic Engineer
M.Sc,Mathematics,6.37,Dialysis Technician
M.Sc,Electronics,8.35,Hardware Repair Lead
B.Tech,Mechanical Engineering,9.44,Chemical Assistant
M.Sc,Mathematics,6.08,Textile Designer
M.Tech,Information Technology,6.69,Helpdesk Specialist
B.Tech,Aerospace Engineering,6.93,Quality Inspector
M.Sc,Dialysis Technology,9.66,Dialysis Specialist
B.Tech,Metallurgical Engineering,8.31,Process Metallurgist
M.Sc,Physics,9.74,Astrophysicist
M.Sc,Dialysis Technology,7.91,Dialysis Technician
B.Tech,Biomedical Engineering,6.15,Equipment Technician
B.Tech,Textile Engineering,7.85,Production Manager
B.Tech,Electrical and Electronics Engineering,9.52,Power Systems Engineer
B.Tech,Metallurgical Engineering,6.81,Quality Control
M.Sc,Radiology,6.86,X-Ray Assistant
B.Sc,Statistics,6.51,Data Clerk
M.Tech,Information Technology,8.66,Cloud Architect
M.Sc,Forensic Science,7.82,Crime Scene Investigator
M.Tech,Computer Science and Engineering,9.73,Data Scientist
M.Tech,Information Technology,8.79,Cloud Architect
B.Tech,Biotechnology,7.75,Bioprocess Engineer
M.Tech,Chemical Engineering,7.39,Safety Officer
B.Sc,Anesthesia Technology,9.85,Data Clerk
M.Sc,Operation Theatre Technology,6.44,Surgical Assistant
B.Sc,Dialysis Technology,9.47,Dialysis Specialist
M.Tech,Environmental Engineering,8.39,Environmental Engineer
M.Tech,Mechanical Engineering,9.81,R&D Engineer
M.Sc,Anesthesia Technology,8.08,Anesthesia Technician
M.Tech,Aeronautical Engineering,6.0,Technical Writer
M.Tech,Biomedical Engineering,8.38,Biomedical Engineer
B.Sc,Operation Theatre Technology,9.85,OT Manager
B.Sc,Chemistry,7.0,Chemical Assistant
B.Tech,Civil Engineering,6.14,Draftsman
B.Sc,Nursing,8.2,Registered Nurse
M.Tech,Electronics and Communication Engineering,9.49,Embedded Systems Lead
M.Tech,Electrical and Electronics Engineering,6.73,Maintenance Engineer
M.Sc,Nursing,8.64,Nurse Manager
M.Tech,Mechanical Engineering,6.7,Senior Scientist
B.Tech,Environmental Engineering,7.8,Environmental Engineer
B.Tech,Marine Engineering,9.13,Naval Architect
B.Tech,Electronics and Communication Engineering,8.85,Software Engineer
M.Tech,Biotechnology,9.3,Senior Scientist
M.Tech,Biotechnology,6.74,Maintenance Technician
B.Tech,Textile Engineering,8.69,Fiber Scientist
B.Sc,Dialysis Technology,6.68,Health Aide
M.Tech,Electrical and Electronics Engineering,8.64,Control Systems Lead
M.Sc,Physics,9.94,Astrophysicist
M.Sc,Mathematics,7.52,Mathematics Professor
B.Tech,Petroleum Engineering,8.73,Reservoir Engineer
M.Sc,Forensic Science,9.96,Forensic Pathologist
B.Tech,Electronics and Communication Engineering,9.36,Embedded Systems Lead
M.Tech,Environmental Engineering,7.34,Waste Manager
B.Sc,Radiology,8.34,Genetic Engineer
B.Tech,Civil Engineering,7.74,Fiber Scientist
B.Tech,Computer Science and Engineering,7.24,Technical Support
B.Tech,Aeronautical Engineering,6.12,Technical Writer
M.Sc,Forensic Science,6.89,Control Systems Lead
M.Sc,Electronics,6.23,Testing Assistant
M.Sc,Radiology,6.03,X-Ray Assistant
M.Tech,Electronics and Communication Engineering,9.51,Mine Manager
B.Sc,Physics,7.66,Physics Teacher
M.Sc,Statistics,6.18,Data Clerk
B.Tech,Textile Engineering,6.23,Textile Designer
M.Tech,Petroleum Engineering,6.31,Statistical Modeler
B.Sc,Medical Laboratory Technology,8.1,Medical Lab Technologist
M.Sc,Electronics,6.14,Testing Assistant
M.Sc,Dialysis Technology,9.9,Dialysis Specialist
B.Sc,Chemistry,9.69,Analytical Chemist
M.Sc,Anesthesia Technology,7.45,Solutions Architect
M.Tech,Electrical and Electronics Engineering,8.81,Power Systems Engineer
B.Sc,Physics,8.94,Astrophysicist
B.Sc,Medical Laboratory Technology,7.85,Environmental Engineer
B.Sc,Forensic Science,6.25,Evidence Custodian
B.Sc,Computer Science,9.25,Database Admin
M.Tech,Biomedical Engineering,6.22,Equipment Technician
B.Tech,Mining Engineering,7.86,Extraction Engineer
B.Tech,Mechanical Engineering,8.17,Production Engineer
B.Sc,Dialysis Technology,8.16,Dialysis Technician
B.Tech,Biotechnology,6.17,Lab Assistant
M.Tech,Civil Engineering,7.02,Site Supervisor
M.Sc,Operation Theatre Technology,7.81,OT Technician
B.Sc,Electronics,6.56,Testing Assistant
B.Sc,Computer Science,8.78,Database Admin
M.Sc,Radiology,9.67,Senior Radiologist
M.Sc,Physics,9.69,Quantum Researcher
B.Tech,Aeronautical Engineering,9.47,Aerodynamics Specialist
M.Sc,Nursing,7.58,Registered Nurse
M.Sc,Electronics,9.08,Circuit Designer
B.Tech,Computer Science and Engineering,6.06,Technical Support
B.Sc,Forensic Science,6.17,Evidence Custodian
B.Tech,Environmental Engineering,8.78,Sustainability Consultant
B.Tech,Biomedical Engineering,9.06,Bio-instrumentation Lead
M.Sc,Mathematics,9.28,Cryptographer
B.Sc,Anesthesia Technology,8.76,Chief Anesthesia Tech
B.Tech,Mining Engineering,7.49,Safety Inspector
M.Tech,Petroleum Engineering,7.49,Site Supervisor
B.Sc,Dialysis Technology,7.75,Dialysis Technician
M.Sc,Electronics,8.76,Circuit Designer
M.Tech,Petroleum Engineering,9.92,Reservoir Engineer
M.Sc,Physics,7.22,Lab Technician
B.Tech,Textile Engineering,8.66,Fiber Scientist
B.Tech,Civil Engineering,8.6,Urban Planner
M.Tech,Aeronautical Engineering,9.26,Aerodynamics Specialist
B.Tech,Mining Engineering,7.63,Extraction Engineer
B.Tech,Civil Engineering,6.52,Draftsman
M.Tech,Civil Engineering,8.42,Site Engineer
B.Sc,Statistics,8.57,Data Analyst
B.Sc,Statistics,9.43,Statistical Modeler
M.Sc,Medical Laboratory Technology,8.3,Medical Lab Technologist
M.Sc,Nursing,7.35,Extraction Engineer
M.Tech,Metallurgical Engineering,9.55,Materials Scientist
B.Tech,Aerospace Engineering,8.53,Data Scientist
M.Tech,Textile Engineering,8.85,Fiber Scientist
M.Tech,Mechanical Engineering,9.43,R&D Engineer
M.Sc,Operation Theatre Technology,9.09,OT Manager
B.Sc,Forensic Science,9.47,Forensic Pathologist
M.Tech,Electronics and Communication Engineering,7.8,Optical Assistant
M.Sc,Computer Science,6.75,Computer Instructor
B.Tech,Chemical Engineering,6.34,Safety Officer
M.Sc,Chemistry,8.93,Analytical Chemist
B.Tech,Information Technology,6.98,Helpdesk Specialist
B.Sc,Physics,6.63,Mine Manager
B.Tech,Civil Engineering,7.5,Site Engineer
B.Sc,Computer Science,8.66,Database Admin
M.Sc,Physics,7.8,Physics Teacher
M.Sc,Forensic Science,7.46,Evidence Custodian
B.Tech,Marine Engineering,7.94,Marine Engineer
M.Tech,Information Technology,7.75,IT Engineer
M.Tech,Aerospace Engineering,6.93,Quality Inspector
B.Tech,Textile Engineering,8.91,Fiber Scientist
M.Tech,Mechanical Engineering,9.26,R&D Engineer
B.Sc,Optometry,7.28,Optical Assistant
M.Tech,Electrical and Electronics Engineering,9.5,Power Systems Engineer
B.Sc,Physics,9.19,Quantum Researcher
M.Tech,Biomedical Engineering,9.12,Medical Device Designer
B.Tech,Computer Science and Engineering,6.55,Data Clerk
M.Tech,Electrical and Electronics Engineering,6.22,Maintenance Engineer
M.Sc,Medical Laboratory Technology,7.96,Medical Lab Technologist
B.Sc,Radiology,9.36,Senior Radiologist
B.Sc,Medical Laboratory Technology,9.13,Lab Director
B.Tech,Biomedical Engineering,8.56,Bio-instrumentation Lead
M.Tech,Textile Engineering,7.28,Textile Designer
M.Sc,Optometry,8.46,Eye Consultant
B.Sc,Optometry,8.11,Eye Consultant
M.Tech,Mining Engineering,8.45,Extraction Engineer
B.Sc,Computer Science,9.75,Database Admin
B.Sc,Optometry,9.64,Senior Optometrist
B.Tech,Textile Engineering,6.59,Waste Manager
M.Sc,Medical Laboratory Technology,8.31,Medical Lab Technologist
B.Sc,Physics,8.14,Physics Teacher
M.Sc,Anesthesia Technology,7.11,Medical Assistant
M.Sc,Forensic Science,8.98,Forensic Pathologist
B.Sc,Dialysis Technology,8.2,Dialysis Technician
B.Tech,Chemical Engineering,6.87,Safety Officer
M.Sc,Radiology,9.28,Senior Radiologist
B.Sc,Chemistry,6.33,Chemical Assistant
M.Tech,Biotechnology,8.02,Bioprocess Engineer
M.Sc,Dialysis Technology,6.4,Health Aide
M.Sc,Physics,9.77,Astrophysicist
M.Sc,Nursing,9.27,Nurse Manager
M.Sc,Statistics,7.11,Data Clerk
M.Sc,Computer Science,7.01,Computer Instructor
M.Sc,Statistics,6.74,Data Clerk
M.Sc,Electronics,8.06,Hardware Repair Lead
M.Tech,Marine Engineering,8.25,Marine Engineer
M.Sc,Physics,8.44,Physics Teacher
M.Tech,Aeronautical Engineering,7.79,Extraction Engineer
M.Tech,Aeronautical Engineering,9.74,Naval Architect
M.Sc,Anesthesia Technology,9.85,Chief Anesthesia Tech
M.Sc,Dialysis Technology,8.16,Dialysis Technician
B.Sc,Forensic Science,7.09,Evidence Custodian
M.Sc,Statistics,9.68,Statistical Modeler
M.Tech,Biotechnology,8.79,Senior Scientist
M.Tech,Information Technology,7.01,Helpdesk Specialist
M.Tech,Textile Engineering,7.47,Textile Designer
B.Tech,Computer Science and Engineering,7.03,Technical Support
M.Sc,Mathematics,9.84,Actuary
B.Sc,Chemistry,8.09,Satellite Controller
B.Sc,Nursing,6.64,Nursing Assistant
M.Sc,Anesthesia Technology,7.02,Medical Assistant
B.Tech,Aeronautical Engineering,6.04,Technical Writer
B.Tech,Computer Science and Engineering,8.61,Data Scientist
B.Tech,Computer Science and Engineering,9.49,Data Scientist
B.Tech,Textile Engineering,7.47,Textile Designer
B.Sc,Nursing,8.86,Nurse Manager
B.Tech,Electrical and Electronics Engineering,6.92,Maintenance Engineer
B.Tech,Aerospace Engineering,7.86,Satellite Controller
B.Sc,Computer Science,9.63,Database Admin
M.Tech,Civil Engineering,7.9,Site Engineer
M.Tech,Civil Engineering,6.59,Draftsman
M.Sc,Nursing,9.88,Nurse Practitioner
M.Sc,Operation Theatre Technology,6.23,Control Systems Lead
B.Sc,Forensic Science,8.46,Crime Scene Investigator
B.Tech,Mining Engineering,9.97,Structural Engineer
M.Sc,Operation Theatre Technology,8.67,OT Manager
M.Tech,Petroleum Engineering,7.49,Site Supervisor
M.Tech,Metallurgical Engineering,7.65,Process Metallurgist
B.Sc,Nursing,9.21,Nurse Manager
B.Sc,Nursing,9.94,Nurse Practitioner
B.Tech,Biomedical Engineering,8.43,Biomedical Engineer
M.Tech,Computer Science and Engineering,9.62,Data Scientist
M.Sc,Nursing,6.17,Nursing Assistant
B.Tech,Metallurgical Engineering,9.95,Materials Scientist
M.Sc,Forensic Science,6.57,Evidence Custodian
B.Tech,Chemical Engineering,8.05,Chemical Plant Operator
M.Tech,Petroleum Engineering,8.85,Reservoir Engineer
M.Tech,Petroleum Engineering,8.76,Reservoir Engineer
M.Tech,Aerospace Engineering,7.52,Satellite Controller
B.Tech,Chemical Engineering,6.97,Safety Officer
B.Sc,Optometry,7.29,Reservoir Engineer
